ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,marked_choice,Total,Legend
1,What is the capital of West Bengal,Mumbai,Chennai,New Delhi,Kolkata,4,5,-1,n,0,0,Unattempted
2,4+5 =,4,7,9,8,3,4,-1,y,2,-1,Wrong Choices
3,Mother Tongue of Kerala,punjabi,malayalam,telugu,hindi,2,8,-2,y,2,7,Correct Choices
4,The 'City of Dreams' of India is,Mumbai,Chennai,New Delhi,Kolkata,1,5,-1,n,3,6,Wrong Choices
5,8-4 =,4,7,9,8,1,4,-1,y,3,5,Wrong Choices
6,Baadshah of Bollywood,SRK,Salman,Aamir,Sachin,1,8,-2,n,2,3,Wrong Choices
7,Oldest Language in India,Hindi,Sanskrit,Tamil,Urdu,3,5,-1,y,2,2,Wrong Choices
8,1+3 =,4,7,9,8,1,4,-1,y,0,1,Unattempted
9,IIT Patna is in ,Paris,Bihar,Mumbai,London,2,8,-2,n,0,1,Unattempted
10,Paani puri originated from,Paris,India,USA,Turkey,2,8,-2,y,0,-1,Unattempted
11,Bible is a Holy book of,Christians,Muslims,Hindus,Buddhists,1,8,-2,y,0,-3,Unattempted
12,The number zero was invented in,USA,Russia,Afganistan,India,4,8,-2,y,0,-5,Unattempted
,,,,,,,,,,-5,Marks Obtained
,,,,,,,,,,75,Total Quiz Marks
